Parameter Combination,Recall,Precision
max_depth_10_eta_0.1_num_round_7,0.8,0.74
max_depth_10_eta_0.3_num_round_6,0.8,0.74
max_depth_4_eta_0.2_num_round_3,0.79,0.78
max_depth_5_eta_0.4_num_round_5,0.79,0.76
max_depth_5_eta_0.5_num_round_6,0.79,0.77
max_depth_3_eta_0.1_num_round_4,0.79,0.76
max_depth_3_eta_0.2_num_round_7,0.79,0.79
max_depth_4_eta_0.3_num_round_3,0.79,0.79
max_depth_6_eta_0.4_num_round_9,0.79,0.75
max_depth_6_eta_0.5_num_round_5,0.79,0.75
max_depth_7_eta_0.1_num_round_9,0.79,0.76
max_depth_8_eta_0.5_num_round_2,0.79,0.74
max_depth_9_eta_0.2_num_round_9,0.79,0.74
max_depth_9_eta_0.4_num_round_3,0.79,0.76
max_depth_2_eta_0.2_num_round_7,0.78,0.77
max_depth_2_eta_0.4_num_round_3,0.78,0.77
max_depth_2_eta_0.4_num_round_4,0.78,0.77
max_depth_3_eta_0.1_num_round_3,0.78,0.76
max_depth_3_eta_0.1_num_round_5,0.78,0.76
max_depth_4_eta_0.1_num_round_3,0.78,0.75
max_depth_4_eta_0.3_num_round_2,0.78,0.77
max_depth_5_eta_0.3_num_round_7,0.78,0.76
max_depth_5_eta_0.4_num_round_4,0.78,0.75
max_depth_6_eta_0.5_num_round_6,0.78,0.77
max_depth_7_eta_0.2_num_round_7,0.78,0.75
max_depth_1_eta_0.2_num_round_6,0.78,0.78
max_depth_1_eta_0.2_num_round_7,0.78,0.78
max_depth_1_eta_0.3_num_round_6,0.78,0.78
max_depth_1_eta_0.3_num_round_7,0.78,0.78
max_depth_1_eta_0.3_num_round_8,0.78,0.78
max_depth_2_eta_0.5_num_round_5,0.78,0.78
max_depth_6_eta_0.3_num_round_7,0.78,0.76
max_depth_6_eta_0.4_num_round_7,0.78,0.76
max_depth_3_eta_0.2_num_round_2,0.77,0.76
max_depth_3_eta_0.3_num_round_2,0.77,0.76
max_depth_3_eta_0.3_num_round_4,0.77,0.79
max_depth_4_eta_0.2_num_round_7,0.77,0.78
max_depth_4_eta_0.4_num_round_6,0.77,0.76
max_depth_3_eta_0.1_num_round_7,0.77,0.78
max_depth_3_eta_0.2_num_round_3,0.77,0.78
max_depth_3_eta_0.2_num_round_6,0.77,0.79
max_depth_5_eta_0.3_num_round_8,0.77,0.76
max_depth_5_eta_0.3_num_round_9,0.77,0.76
max_depth_3_eta_0.1_num_round_2,0.76,0.76
max_depth_4_eta_0.4_num_round_7,0.76,0.76
max_depth_4_eta_0.5_num_round_4,0.76,0.78
max_depth_3_eta_0.2_num_round_5,0.76,0.78
max_depth_4_eta_0.1_num_round_2,0.76,0.78
max_depth_4_eta_0.1_num_round_6,0.76,0.78
max_depth_5_eta_0.1_num_round_2,0.76,0.77
max_depth_3_eta_0.4_num_round_3,0.75,0.79
max_depth_3_eta_0.1_num_round_9,0.75,0.8
max_depth_4_eta_0.1_num_round_8,0.75,0.78
max_depth_4_eta_0.1_num_round_7,0.74,0.78
max_depth_4_eta_0.2_num_round_5,0.74,0.78
max_depth_2_eta_0.5_num_round_3,0.74,0.78
max_depth_2_eta_0.5_num_round_4,0.74,0.78
max_depth_1_eta_0.4_num_round_6,0.73,0.79
max_depth_1_eta_0.4_num_round_7,0.73,0.79
max_depth_1_eta_0.4_num_round_9,0.73,0.78
max_depth_1_eta_0.5_num_round_7,0.73,0.78
max_depth_3_eta_0.4_num_round_4,0.73,0.79
max_depth_4_eta_0.2_num_round_6,0.73,0.78
max_depth_2_eta_0.3_num_round_4,0.72,0.8
max_depth_2_eta_0.2_num_round_3,0.71,0.8
